,CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BQ01_01,BQ01_02,BQ01_03,BQ01_04,BQ01_05,BQ02_01,BQ02_02,BQ02_03,BQ02_04,BQ02_05,BQ03_01,BQ03_02,BQ03_03,BQ03_04,BQ03_05,EQ01_01,EQ01_02,EQ01_03,EQ01_04,EQ01_05,EQ02_01,EQ02_02,EQ02_03,EQ02_04,EQ02_05,EQ03_01,EQ03_02,EQ03_03,EQ03_04,EQ03_05,F101_01,F101_02,F101_03,F101_04,F101_05,F102_01,F102_02,F102_03,G101_CP,G101,G103_CP,G103x01,G103x02,G103x03,GQ01_01,GQ01_02,GQ01_03,GQ01_04,GQ02_01,GQ02_02,GQ02_03,GQ02_04,GQ03_01,GQ03_02,GQ03_03,GQ03_04,P101,P102,P103,P104_01,P104_02,P104_03,P104_04,P109_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
16,40,,,base,interview,2024-11-21 16:25:35,4,4,4,3,5,5,5,5,3,5,4,4,4,3,5,5,5,4,5,5,5,4,5,5,4,3,3,4,5,4,4,3,4,5,3,No,No,No,7,2,15,3,2,1,4,4,4,4,5,5,5,5,4,4,4,5,1,3,1,4,3,3,3,603415af8ffaaa1ada99d014,259,75,60,550,172,178,101,1149,,2024-11-21 16:48:51,finished,1,0,7,7,0,0,0.49
17,41,,,base,interview,2024-11-21 16:25:47,2,3,2,2,5,2,4,2,2,5,2,2,2,2,5,4,2,4,5,2,4,2,4,5,2,4,2,4,5,2,4,2,2,2,2,no,no,no,8,2,16,3,2,1,2,2,4,2,2,2,2,2,2,2,2,2,1,2,7,5,1,2,2,6547a1d8f1d0ad1c23a984c5,21,52,42,287,218,129,58,807,,2024-11-21 16:39:14,finished,1,0,7,7,0,0,0.76
18,42,,,base,interview,2024-11-21 16:25:57,4,4,4,4,5,4,4,3,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,no,no,no,8,1,17,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,1,3,1,5,2,4,4,66a35fe40e96f06a2aaa6bcb,13,40,10,146,119,77,63,468,,2024-11-21 16:33:46,finished,1,0,7,7,0,0,1.42
19,43,,,base,interview,2024-11-21 16:26:48,2,4,4,4,5,3,4,2,3,5,4,4,4,3,5,2,2,4,5,2,4,3,3,5,3,4,3,4,5,3,2,2,2,3,2,na,na,na,9,1,18,3,2,1,4,5,4,2,4,4,4,4,4,4,4,4,1,2,5,5,1,4,2,673e4e33c85e3bb6ac74faa8,2,33,10,168,194,75,50,532,,2024-11-21 16:35:39,finished,1,0,7,7,0,0,1.68
20,44,,,base,interview,2024-11-21 16:26:49,4,3,3,3,5,4,3,3,4,5,4,3,4,4,5,3,3,4,5,4,4,3,4,5,4,4,3,3,5,4,4,2,3,3,3,instructions were clear,Use less techical jargon,none,9,2,19,2,1,3,3,4,3,4,4,4,3,4,4,4,3,4,2,2,5,5,2,4,4,60bf58fdf814d2c749a35458,33,101,82,347,149,140,75,863,,2024-11-21 16:42:18,finished,1,0,7,7,0,0,0.61
22,46,,,base,interview,2024-11-21 16:28:22,3,4,3,3,5,3,3,2,3,5,3,2,3,3,5,3,3,4,5,3,3,4,2,5,2,4,4,2,5,2,5,2,3,4,2,Instructions were clear.,The choice of colour and which data to highlight and focus on was unintuitive and incomprehensible to me. The chart with antecedents leading to symptoms and diagnosis was the most clear and intuitive.,Nothing I can think of.,10,1,21,1,2,3,4,3,4,4,4,2,2,3,3,2,2,3,1,2,5,5,2,2,2,5c85883136f2450001c86ba9,4,35,43,229,207,239,605,821,,2024-11-21 16:51:04,finished,1,0,7,7,0,0,1.00
25,49,,,base,interview,2024-11-21 16:29:15,2,4,3,3,5,2,3,3,3,5,2,3,3,3,5,3,3,4,5,4,3,2,3,5,4,2,2,3,5,3,2,2,3,3,3,,,,12,2,24,2,3,1,3,4,4,4,3,3,3,3,3,3,3,3,1,2,3,5,1,3,1,596f2a1f50e2f000016fd93b,8,26,74,426,64,57,32,687,,2024-11-21 16:40:43,finished,1,0,7,7,0,0,1.40
26,50,,,base,interview,2024-11-21 16:29:46,3,4,4,4,5,3,4,4,4,5,3,4,4,4,5,4,4,4,5,3,4,3,4,5,2,4,4,4,5,4,5,4,4,4,3,No,No,No,12,1,25,1,3,2,3,4,4,4,4,4,4,4,3,4,4,4,2,4,1,5,1,2,4,5c7e33aa19b8d40017e6dd80,79,56,95,305,229,202,80,980,,2024-11-21 16:47:11,finished,1,0,7,7,0,0,0.54
27,51,,,base,interview,2024-11-21 16:30:14,3,4,5,4,5,3,5,5,4,5,3,5,5,4,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,3,5,4,3,"No, all clear.",Nothing I can think of.,"No, all was fine thanks.",13,1,26,1,3,2,3,5,5,4,4,5,5,5,5,5,5,4,2,3,5,5,1,3,1,66071c67294f2e86b99e2df7,83,37,52,275,188,171,86,822,,2024-11-21 16:45:06,finished,1,0,7,7,0,0,0.66
31,55,,,base,interview,2024-11-21 16:31:32,1,2,2,2,5,1,1,1,1,5,1,1,1,1,5,2,2,4,5,4,1,1,1,5,4,1,1,4,5,4,4,1,3,1,1,The instructions were clear.,,I found the way the information in the graphs and charts was presented was not easy to comprehend and interpret.,15,2,30,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,3,2,5a0c4184fe645f0001e9f5dd,8,24,29,103,72,48,169,453,,2024-11-21 16:39:05,finished,1,0,7,7,0,0,1.53
32,56,,,base,interview,2024-11-21 16:31:36,5,5,4,4,5,4,5,3,5,5,4,4,3,4,5,3,4,5,5,2,3,4,5,5,3,3,4,4,5,4,3,1,4,5,4,No,I'd suggest screening for only people with a bit of medical experience,No,15,1,31,3,2,1,5,4,5,5,4,4,5,3,4,5,4,4,2,1,5,5,1,4,4,5f58df8daecb9e0826ac045f,26,30,21,505,61,378,565,800,,2024-11-21 16:58:03,finished,1,0,7,7,0,0,0.90
33,57,,,base,interview,2024-11-21 16:31:53,4,4,4,3,5,4,4,4,3,5,3,4,3,3,5,3,3,4,5,3,4,4,4,5,4,4,4,4,5,4,4,4,4,5,3,no - but forgot to switch from each diagnosis on the first one so found it very useful to be able to switch on the next two scenarios.,no,no,16,1,32,3,2,1,4,4,4,4,4,4,4,4,3,3,4,3,1,3,1,5,1,1,1,60c9fcbb6090f57f63cdbebf,16,69,48,461,249,138,123,1104,,2024-11-21 16:50:18,finished,1,0,7,7,0,0,0.61
37,61,,,base,interview,2024-11-21 16:34:24,4,4,4,3,5,4,4,4,3,5,4,4,4,3,5,4,4,5,5,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,3,No,"Different colours would be useful, rather than shades of blue.",No,18,1,36,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,1,3,5,5,2,2,1,665f1d07718fd2f868db3aa9,5,33,134,360,85,73,78,665,,2024-11-21 16:47:13,finished,1,0,7,7,0,0,1.19
39,63,,,base,interview,2024-11-21 16:35:23,4,4,4,4,5,3,4,3,4,5,3,4,2,3,5,4,2,4,5,4,4,2,4,5,4,3,3,4,5,4,4,3,4,4,3,everything was clear,I don't,"no, thank you",19,1,38,2,1,3,3,4,5,4,4,5,5,4,4,5,5,4,1,2,5,5,2,3,2,5d651053afb8f700198459d4,528,25,3094,100,78,97,35,379,,2024-11-21 17:41:20,finished,1,0,7,7,0,0,1.20
40,64,,,base,interview,2024-11-21 16:35:34,4,4,4,3,5,4,4,4,3,5,4,5,4,3,5,4,4,4,5,4,4,4,5,5,4,5,5,4,5,4,4,4,4,4,4,No,Have more symptoms to elp aid with the diagnosis so that te evidence can be beyond doubt,No,19,2,39,2,1,3,4,4,4,4,5,4,4,4,4,4,5,5,1,2,3,4,3,4,4,5fd6303361f8c14cb485a447,7,60,3,493,389,44,96,1092,,2024-11-21 16:53:46,finished,1,0,7,7,0,0,1.30
41,65,,,base,interview,2024-11-21 16:35:41,3,3,1,2,5,2,2,2,1,5,2,2,2,2,5,4,3,2,5,2,2,4,2,5,2,4,4,2,5,2,5,1,2,2,1,NO IT WAS CLEAR,NO,MAY WELL BE A GENERATIONAL THING BUT NOTHING COMPARES FOR ME TO A FACE TO FACE WITH MY DOCTOR TO DISCUSS IN DETAIL MAN TO MAN.,20,1,40,3,2,1,4,4,4,2,3,4,2,2,2,4,3,2,2,4,5,5,1,1,1,643c23204a1aa8edc3772c85,23,31,45,135,93,134,94,555,,2024-11-21 16:44:56,finished,1,0,7,7,0,0,1.01
43,67,,,base,interview,2024-11-21 16:37:39,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,The instructions in the survey were clear,There should be different colors to indicate the disease in the chart,,21,1,42,3,2,1,4,5,4,4,5,5,5,5,5,5,5,5,1,1,6,5,5,5,4,672a8cc3f8c608bf00571dd1,4,39,234,470,1074,78,177,936,,2024-11-21 17:12:16,finished,1,0,7,7,0,0,0.89
44,68,,,base,interview,2024-11-21 16:39:44,4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,4,4,5,4,4,5,4,4,4,no,no,thank you,21,2,43,2,1,3,3,5,4,4,4,5,4,4,4,4,5,4,2,2,6,5,2,5,3,610e25f9f9818357aca7dc5f,47,42,42,264,104,46,55,600,,2024-11-21 16:49:45,finished,1,0,7,7,0,0,1.04
45,69,,,base,interview,2024-11-21 16:40:09,4,5,4,4,5,2,5,2,2,5,4,4,2,2,5,5,5,5,5,4,4,4,5,5,4,5,5,2,5,4,4,4,2,5,3,No.,I think something that would highlight the likelihood of one diagnoses over the other would be very helpful for the user.,"The scenarios where there were a lot of ""yes"" answers to various issues are trickier to determine what the likely outcome would be versus the ones where only a few issues were selected.",22,1,44,1,2,3,5,5,5,5,4,5,5,4,2,5,5,4,1,2,3,5,4,4,4,66c0aae6a29741d835d469a0,14,29,23,137,147,92,119,561,,2024-11-21 16:49:31,finished,1,0,7,7,0,0,1.11
46,70,,,base,interview,2024-11-21 16:40:09,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,5,4,NOT AT ALL,NO,NOT TODAY,22,2,45,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1,2,7,5,3,5,5,6065a8becc1f681d7a36115e,12,179,6,463,144,218,55,935,,2024-11-21 16:58:08,finished,1,0,7,7,0,0,1.05
49,73,,,base,interview,2024-11-21 16:41:16,4,5,4,3,5,3,3,3,2,5,3,4,3,2,5,4,4,5,5,4,4,4,4,5,3,2,3,4,5,2,4,2,2,4,1,no,no,no,24,1,48,1,3,2,4,5,5,4,4,4,4,4,2,4,3,3,1,1,5,5,2,1,1,5e42a1011f44d312c605e647,5,44,34,227,185,144,50,689,,2024-11-21 16:52:46,finished,1,0,7,7,0,0,1.15
51,75,,,base,interview,2024-11-21 16:43:41,1,2,3,2,5,1,2,2,3,5,1,3,3,3,5,3,3,3,5,3,3,3,3,5,3,2,3,2,5,3,3,2,2,3,1,no,graphs are difficult to read for some people,no,25,1,50,1,3,2,2,3,3,3,3,3,4,2,1,3,3,2,4,5,3,4,1,1,1,66ba81e5193b68793e65612e,27,95,42,191,148,154,120,719,,2024-11-21 16:56:38,finished,1,0,7,7,0,0,0.70
52,76,,,base,interview,2024-11-21 16:43:53,5,4,4,3,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,4,3,4,3,no,no,no,25,2,51,2,3,1,4,4,4,5,4,4,5,3,5,5,5,5,1,1,1,5,3,3,4,5f61bbe3c18cc915aac68b32,15,33,268,489,244,335,43,948,,2024-11-21 17:07:39,finished,1,0,7,7,0,0,0.70
53,77,,,base,interview,2024-11-21 16:44:05,5,5,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,5,5,4,4,4,5,5,4,4,4,5,5,5,5,4,4,4,4,no,no,no,26,2,52,3,2,1,4,4,5,5,4,4,5,4,5,4,4,5,1,2,1,5,1,2,2,6651e7f3cec5c25f42720bfa,9,31,27,140,81,89,41,418,,2024-11-21 16:51:03,finished,1,0,7,7,0,0,1.40
54,78,,,base,interview,2024-11-21 16:44:58,4,4,4,4,5,3,4,3,3,5,4,4,4,4,5,4,3,4,5,4,3,2,4,5,4,4,3,4,5,4,5,3,4,4,4,,,No,26,1,53,2,3,1,4,5,5,4,2,3,4,2,4,4,4,4,1,1,5,5,1,2,2,671ea8bad0ec9aba9873becb,4,55,34,204,150,72,48,567,,2024-11-21 16:54:25,finished,1,0,7,7,0,0,1.33
56,80,,,base,interview,2024-11-21 16:46:31,2,3,3,2,5,2,3,3,3,5,2,2,2,3,5,4,3,3,5,4,4,4,4,5,4,2,2,2,5,2,2,2,2,2,1,The graphs are too complex to follow,Break them up into smaller graphs. They were too overwhelming ,No,27,2,55,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,1,3,2,5ff85878c73c7102572ca342,3,77,29,196,80,93,248,542,,2024-11-21 16:58:37,finished,1,0,7,7,0,0,1.25
57,81,,,base,interview,2024-11-21 16:47:06,1,4,2,2,5,1,4,2,2,5,2,3,2,2,5,2,2,4,5,2,2,2,4,5,2,4,2,4,5,2,3,2,2,2,2,"Not unclear, but used high knowlegde wording.","Some of the wording used medical jargon, if you want a lay pseron to do the surevey's I would suggest to use more common words.",no,28,2,56,2,1,3,2,2,2,2,2,3,3,2,2,3,4,2,3,2,2,5,3,3,2,66b93b23daadbf9eaf009b00,9,63,46,256,245,190,198,1007,,2024-11-21 17:03:53,finished,1,0,7,7,0,0,0.71
58,82,,,base,interview,2024-11-21 16:47:32,3,4,4,3,5,3,4,4,3,5,3,4,4,3,5,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,1,4,4,3,no,no,no,28,1,57,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,3,1,5,2,2,2,66dc5ce2cbee7796d2d7ef15,25,34,55,443,206,178,48,989,,2024-11-21 17:04:00,finished,1,0,7,7,0,0,0.75
59,83,,,base,interview,2024-11-21 16:47:59,3,3,2,4,1,3,3,4,2,1,3,4,2,4,1,3,4,4,1,3,2,3,3,1,3,2,3,4,1,3,4,4,2,3,3,Yes the attention check questions rightmost to the right or right as in agree?,No.,None.,29,2,58,1,2,3,5,4,3,2,3,4,3,3,4,3,4,3,2,2,5,4,3,4,3,609e083e65eac4b7143bfc59,5,90,13,218,47,33,131,484,,2024-11-21 16:56:56,finished,1,0,7,7,0,0,1.81
60,84,,,base,interview,2024-11-21 16:48:00,4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,5,4,5,5,4,4,5,5,5,4,4,4,5,5,4,4,4,5,4,4,"No, it was all clear",No,It was interesting!,29,1,59,2,1,3,4,5,5,4,4,5,4,4,4,5,5,4,2,2,6,5,3,4,3,5c66d6a50d7f5f00014b8ab0,2,23,256,275,219,213,30,793,,2024-11-21 17:04:58,finished,1,0,7,7,0,0,1.25
61,85,,,base,interview,2024-11-21 16:49:08,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,4,4,4,5,4,5,4,4,5,5,4,4,4,5,5,no,none its very good,no,30,1,60,2,3,1,4,5,5,5,4,5,5,5,4,5,5,5,2,4,2,5,2,2,2,5a9e9fc46219a30001f54994,2,32,2,28,169,60,46,339,,2024-11-21 16:54:47,finished,1,0,7,7,0,0,1.99
62,86,,,base,interview,2024-11-21 16:49:23,4,5,4,4,5,4,5,4,4,5,4,4,4,4,5,5,4,4,5,4,4,4,4,5,4,4,4,4,5,4,5,4,4,4,4, No,No,No thanks,30,2,61,2,1,3,5,5,5,5,5,5,5,4,4,4,4,4,1,3,7,5,2,3,4,58dedd9f167bc20001b4a66d,8,53,31,246,130,146,43,657,,2024-11-21 17:00:21,finished,1,0,7,7,0,0,1.07
64,88,,,base,interview,2024-11-21 16:49:33,4,4,4,4,5,3,2,3,4,5,3,3,4,4,5,4,4,4,5,5,3,2,4,5,2,4,4,4,5,3,4,3,4,4,4,Nothing was unclear! ,I don't. ,"No, this was great! ",31,2,63,1,2,3,4,5,5,4,4,2,2,3,4,3,3,4,1,2,5,5,2,2,2,645e3a837936835982abb405,7,33,24,221,153,125,41,604,,2024-11-21 16:59:38,finished,1,0,7,7,0,0,1.22
65,89,,,base,interview,2024-11-21 16:49:52,4,4,4,5,5,4,4,4,5,5,3,4,3,4,5,5,4,5,5,4,5,4,4,5,4,4,4,4,5,4,5,4,5,5,4,Nothing,No,No,32,2,64,1,2,3,4,4,4,4,4,4,4,4,3,4,4,4,2,1,5,5,5,5,5,663496b0fa6dfaebc668a553,7,16,12,321,95,58,41,550,,2024-11-21 16:59:02,finished,1,0,7,7,0,0,1.73
66,90,,,base,interview,2024-11-21 16:50:14,3,4,3,3,5,4,4,3,3,5,3,4,3,3,5,4,3,4,5,3,4,3,4,5,4,4,3,4,5,4,5,3,3,4,3,"I don't think so, the instructions seemed clear enough to me.","None that I can think of, however, I am not a medical professional.",You managed to pique my hypochondria!,32,1,65,2,1,3,4,5,4,4,4,5,4,4,4,5,4,4,2,3,5,5,3,3,4,656a1e9bfe871ac6a31c918e,38,37,44,398,226,123,128,994,,2024-11-21 17:06:48,finished,1,0,7,7,0,0,0.64
68,92,,,base,interview,2024-11-21 16:50:29,2,3,4,3,5,2,4,4,4,5,4,4,4,4,5,4,3,4,5,3,4,3,4,5,4,4,4,4,5,4,5,5,4,4,3,No,Not that I can think of,no,33,2,67,3,2,1,4,4,4,4,4,3,4,4,4,4,4,4,1,4,5,5,4,2,2,54240de1fdf99b691fb383a8,14,32,34,217,127,70,36,530,,2024-11-21 16:59:19,finished,1,0,7,7,0,0,1.18
70,94,,,base,interview,2024-11-21 16:52:28,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,3,4,5,3,4,4,5,5,4,4,4,4,5,4,5,3,5,5,5,No unclear instructions,Nothing to add. I think it's very well done.,This was very interesting and insightful. Thank you.,34,2,69,2,1,3,4,4,4,5,4,3,3,4,5,4,3,4,2,2,5,5,2,3,3,5a5bed3a76d1c60001ab3c4c,99,49,17,125,309,80,76,669,,2024-11-21 17:05:03,finished,1,0,7,7,0,0,1.01
71,95,,,base,interview,2024-11-21 16:52:37,4,4,4,4,5,5,5,4,4,5,2,2,4,2,5,4,4,4,5,5,5,3,3,5,5,4,4,3,5,5,5,3,4,3,2,no,"tne charts are not visually apealing, but the graph and text box are fine",no,35,1,70,1,3,2,4,4,4,5,5,4,5,4,4,5,5,5,1,2,5,5,1,3,3,5fb6bb7c19e6d00f86af4633,146,70,79,498,347,239,160,1406,,2024-11-21 17:18:17,finished,1,0,7,7,0,0,0.38
72,96,,,base,interview,2024-11-21 16:52:43,5,5,4,4,5,4,4,4,3,5,5,4,4,3,5,4,4,4,5,5,4,4,4,5,4,4,4,5,5,4,3,2,3,4,4,No,Perhaps individuals with limited medical knowledge should be filtered out? their input may skew your results,No,35,2,71,3,2,1,4,5,4,5,4,5,5,4,4,5,5,5,2,4,5,5,2,3,2,666ac360617fed316e270784,74,37,52,228,115,65,125,635,,2024-11-21 17:04:21,finished,1,0,7,7,0,0,0.85
73,97,,,base,interview,2024-11-21 16:55:12,3,4,3,4,5,3,4,3,3,5,3,3,3,3,5,4,3,4,5,3,3,3,3,5,3,3,4,4,5,3,4,2,3,2,2,"I did think there were evidences that showed that a child would be most in danger from the problem discussed when the model was adult - that wasn't helpful. Also the man with the bronchitis didn't have any questions answered as to whether he was, or had been a smoker which might have been a supporting factor.","I'm not medically trained, so don't feel I would have anything worthwhile to suggest.",No thanks.,36,1,72,2,1,3,4,4,3,4,3,4,4,4,3,3,3,3,1,3,5,5,3,3,3,613b77da863afce13714e4c4,23,36,72,313,153,205,178,980,,2024-11-21 17:11:35,finished,1,0,7,7,0,0,0.64
75,99,,,base,interview,2024-11-21 16:55:26,5,4,5,5,5,5,5,3,4,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,3,5,5,4,"none, I understood what it is i needed to do and how i should do it",Nothing for now.,"Nothing, thank you",37,1,74,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,2,4,2,5f7f239e9b204e05b6c36538,55,47,308,893,581,395,84,685,,2024-11-21 17:34:49,finished,1,0,7,7,0,0,0.37
76,100,,,base,interview,2024-11-21 17:00:06,4,5,5,5,5,4,5,5,5,5,4,5,4,4,5,4,4,5,5,5,5,4,5,5,5,4,4,4,5,3,4,3,4,4,3,,,,37,2,75,2,1,3,4,4,4,5,5,5,5,5,5,5,5,5,1,2,6,5,3,2,4,6718b506c509178a825f5069,16,47,95,308,93,92,52,703,,2024-11-21 17:11:49,finished,1,0,7,7,0,0,0.91
77,101,,,base,interview,2024-11-21 17:00:43,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,4,4,5,5,4,4,4,5,5,4,4,4,5,5,4,5,4,4,4,3,No,,"Very interesting survey, perhaps an insight into what the future holds",38,1,76,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,5,5,3,4,3,5f8bf55617ed3331cd61707e,352,35,6,269,143,90,56,612,,2024-11-21 17:16:34,finished,1,0,7,7,0,0,1.16
78,102,,,base,interview,2024-11-21 17:02:11,5,4,1,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,No all it was crear,no,no,38,2,77,1,2,3,5,5,5,4,5,4,4,4,5,5,5,5,2,1,5,5,1,1,1,609fba4900794b6d944da77e,67,170,65,356,136,137,786,862,,2024-11-21 17:30:48,finished,1,0,7,7,0,0,0.47
